ncode,pdate,pmt,tdate
1184076,30/11/2045,2.8,08/04/2024
1184076,30/11/2046,2.8,08/04/2024
1184076,29/11/2047,2.8,08/04/2024
1184076,30/11/2048,2.8,08/04/2024
1184076,30/11/2049,2.8,08/04/2024
1184076,30/11/2050,2.8,08/04/2024
1184076,30/11/2051,2.8,08/04/2024
1184076,29/11/2052,102.8,08/04/2024
1194802,28/02/2025,3.75,08/04/2024
1194802,27/02/2026,3.75,08/04/2024
1194802,28/02/2027,3.75,08/04/2024
1194802,29/02/2028,3.75,08/04/2024
1194802,28/02/2029,103.75,08/04/2024
1202332,31/03/2025,4,08/04/2024
1202332,31/03/2026,4,08/04/2024
1202332,31/03/2027,4,08/04/2024
1202332,31/03/2028,4,08/04/2024
1202332,30/03/2029,4,08/04/2024
1202332,31/03/2030,4,08/04/2024
1202332,31/03/2031,4,08/04/2024
1202332,31/03/2032,4,08/04/2024
1202332,31/03/2033,4,08/04/2024
1202332,31/03/2034,4,08/04/2024
1202332,30/03/2035,104,08/04/2024
1203579,30/09/2024,2.4349,08/04/2024
1203579,30/09/2025,3.75,08/04/2024
1203579,30/09/2026,3.75,08/04/2024
1203579,30/09/2027,103.75,08/04/2024
8240814,07/08/2024,100,08/04/2024
8240913,04/09/2024,100,08/04/2024
8241010,02/10/2024,100,08/04/2024
8241119,06/11/2024,100,08/04/2024
8241218,04/12/2024,100,08/04/2024
8250128,08/01/2025,100,08/04/2024
8250219,05/02/2025,100,08/04/2024
8250318,05/03/2025,100,08/04/2024
8250417,02/04/2025,100,08/04/2024
